symbol,Returns,variance,VaR_95,max_drawdown,Sharpe,Close,Log_Variances,Volatility,Cluster_labels
AMCR,-0.036924131484618414,0.08808261032161302,0.021960054590863597,0.2366522172468184,-0.1918012021674834,41.79999923706055,0.08441707415574404,0.2967871464898927,0
AMD,1.339713899201055,0.33807159876627324,0.04188572469953824,0.2776075108828489,2.269736527798566,273.54998779296875,0.2912294720577951,0.5814392477002849,5
AME,0.45459047658395296,0.04662710148279464,0.017053427712827918,0.1356712813826032,2.0126163464660176,236.60000610351562,0.04557270940648363,0.21593309492246585,3
AMGN,0.325801198984409,0.07628188539233523,0.026001728421513347,0.12407255566710126,1.1072061121459125,353.1000061035156,0.07351240270175023,0.2761917547508166,0
AMP,0.05688806933995046,0.06295355053890976,0.028605250114091613,0.20866727878465813,0.1470197943895018,456.7149963378906,0.06105140182833296,0.2509054613572805,0
AMT,-0.11964661707956165,0.056316035263418995,0.027705149729969174,0.2666819360187122,-0.588456525712337,181.5500030517578,0.05478741632762682,0.23730999823736673,0
AMZN,0.44528826428905594,0.09787194443529584,0.025609491894025543,0.21736223115695757,1.3594219886252192,247.95010375976562,0.0933737100886125,0.312844920743962,0
ANET,1.0420907304156504,0.26472544315335944,0.04496456190844828,0.2832808854636847,1.9865138970260354,166.91000366210938,0.23485505763719366,0.5145147647573969,4
AON,-0.03468850706956482,0.0626899062139422,0.022391068972075812,0.17423291466249885,-0.2184224417369904,331.8699951171875,0.06080334110537217,0.25037952435041927,0
AOS,0.11061994571432315,0.06637978083211139,0.02490454449926825,0.21362000970100187,0.3517271480382135,65.30999755859375,0.06426952949266676,0.25764273875293164,0
APA,1.0169388826106704,0.21182942012232775,0.04035896754466769,0.19486365916010343,2.1660845067458268,36.35499954223633,0.19213113526864448,0.46024930214214094,4
APD,0.2004184916987362,0.062290857872852455,0.018938556996737035,0.2239070682943169,0.7228844650659082,296.74249267578125,0.06042776279188846,0.24958136523557295,0
APH,0.9781267367228629,0.1513387418045042,0.03327910052179196,0.2818917334659571,2.462906358165761,154.23500061035156,0.14092538861729284,0.3890228037075773,2
APO,0.1374061336382372,0.13327768647109736,0.04327228131737297,0.3497224534107445,0.321597055420561,126.4000015258789,0.12511404157599193,0.36507216611390325,2
APP,1.021740948658515,0.5091455752335294,0.06386699796407357,0.4998500328887651,1.4038943948249771,485.68499755859375,0.41154364646037256,0.7135443750976735,5
APTV,0.23866918989297833,0.12729305841339844,0.03404368019431167,0.35130256405137994,0.6128938103489909,60.665000915527344,0.11981923533928461,0.35678152756749953,2
ARE,-0.28763807041262063,0.16525750929227706,0.04273065004699418,0.48976352890252045,-0.7567622803950549,49.01499938964844,0.1529421006114821,0.4065187686839035,2
ARES,-0.03161922095362913,0.16403184503818152,0.04198978216850623,0.49297053412774977,-0.1274522071827976,118.41999816894531,0.15188970721523984,0.4050084505762584,2
ARM,0.7221565253259746,0.2732665539651988,0.04596163416743077,0.41467917416991534,1.343200040241772,173.34609985351562,0.24158568804516306,0.5227490353555889,4
ASML,0.9524937539078933,0.14879062469154902,0.037163449342600886,0.17854455397247693,2.417453604468481,1478.5250244140625,0.13870975832060845,0.3857338780708133,2
ATO,0.2130848041165944,0.02287215032162056,0.015967661828846687,0.07199424449081361,1.2767168716778692,187.0399932861328,0.02261450391174971,0.15123541358299836,3
AVB,-0.0793146513381133,0.03886909481808024,0.02269538773516213,0.2212923263681165,-0.5037454179180323,176.0800018310547,0.038132712666576925,0.19715246591934943,3
AVGO,0.9763597351331447,0.18251784367839513,0.037501053984438044,0.28665986302950264,2.2385593773358132,396.55999755859375,0.16764593106155587,0.4272210712013104,4
AVY,0.07414409947574335,0.05919278564326599,0.020113331653047423,0.17974890106062502,0.22254443856510914,173.0500030517578,0.05750709504001087,0.24329567534846563,0
AWK,-0.036791184079523996,0.05051578335569869,0.022411347883005577,0.16122752071781843,-0.2526779691432411,134.9600067138672,0.04928126580280428,0.22475716530446518,3
AXON,-0.15318640202089084,0.2916602742864403,0.05708607970559573,0.6028106432163984,-0.3206824181710565,403.385009765625,0.2559284251854245,0.5400558066407956,5
AXP,0.3586540896442959,0.07238490573671079,0.023167693193992995,0.23895331350572738,1.2587292316571062,330.3974914550781,0.06988505206307101,0.26904443078553175,0
AZO,0.03338732100333833,0.06272323846857304,0.02617482120942948,0.2548191329586194,0.05345390536239418,3576.1201171875,0.06083470654104473,0.25044607896426135,0
BA,0.38854511400136743,0.09326706402783154,0.02943874597064351,0.24961328061128588,1.2067755569698846,223.75,0.08917051972128462,0.3053965684611265,0
BAC,0.4271271317962493,0.047370639576713586,0.022907225917256625,0.1793167499587889,1.870576273476896,53.8650016784668,0.046282870750584904,0.21764797168067887,3
BALL,0.3585125561509079,0.0651911251418862,0.02240816508669802,0.21964823159159258,1.325807721144339,64.41999816894531,0.06315424328745137,0.2553255277912614,0
BAX,-0.2994882508720382,0.20649161301311705,0.033602336882074424,0.4978847667809383,-0.7030782827225213,18.7549991607666,0.18771665455701972,0.4544134824288525,4
BBY,0.1873460408217662,0.11849933240195397,0.029594482268602045,0.2603642445544841,0.4861356719760292,66.80000305175781,0.11198790507880695,0.34423731988550277,2
BDX,0.09589948717134796,0.08953930116427973,0.019846005310414038,0.2025208284011408,0.25364832063870324,158.60499572753906,0.08575494741304507,0.29923118347571953,0
BF-B,-0.05612666057038534,0.16014517631581082,0.03276141163022376,0.3471001371586278,-0.1902303680439125,28.864999771118164,0.14854514928380416,0.40018142924904804,2
BG,0.5102590862147244,0.09647011896729457,0.02710798974527782,0.15391747156839283,1.5784442389628135,120.96499633789062,0.09209603722066578,0.31059639239259457,0
BIIB,0.5127802290405493,0.1078972489131723,0.028330983107656756,0.14335419717590248,1.500196297624762,183.72000122070312,0.1024638483869458,0.3284771665019843,2
BK,0.6447993342634305,0.03883348276744561,0.018328649290008724,0.10148105075074924,3.1705703007417276,135.58999633789062,0.038098432446662577,0.1970621292066175,3
BKNG,0.12720342168234963,0.09436475316503352,0.02539393637133236,0.33202093685090733,0.34898257525754056,190.72000122070312,0.09017406082970897,0.30718846522132554,0
BKR,0.5234182296209533,0.0973717936149073,0.030324300094901245,0.16855659599481357,1.6132896703022337,59.34000015258789,0.0929180423917883,0.3120445378706497,0
BLDR,-0.11524258603548868,0.22894016779428977,0.04275319076452148,0.4715501982026728,-0.2826522637943493,91.0,0.20615214574892415,0.47847692503849104,4
BLK,0.262958569694588,0.06390491841185598,0.024876024139478075,0.22454444378345034,0.9610922602409083,1052.175048828125,0.06194602453152375,0.2527942214763937,0
BMY,0.28353300720220187,0.07649905420689583,0.025077621099593994,0.13681077592000304,0.9528114883477633,59.459999084472656,0.0737141592402838,0.2765846239524096,0
BR,-0.2954947271432206,0.05954686707200936,0.02574912080595043,0.42601566967137466,-1.2928931866736606,162.3000030517578,0.05784133283235685,0.24402226757410758,0
BRK-B,-0.05782925539971694,0.024054075821735067,0.01502812251999479,0.14948129726959825,-0.5018206605151369,472.9599914550781,0.023769333642663686,0.1550937646126854,3
BRO,-0.46986104761077296,0.07506634426224068,0.02680225492617065,0.45942507056852977,-1.7879290213889114,67.9800033569336,0.0723823752680793,0.2739823794740105,0
BSX,-0.3750046298214867,0.0866958589942562,0.022381029537976195,0.4333271765751206,-1.3415380930163767,61.63999938964844,0.08314177045481673,0.29444160540632874,0
BX,0.1601878885300409,0.11626032509815869,0.03765257510311873,0.4476163195658146,0.41114473014638747,128.6699981689453,0.10998410297377345,0.34096968354702545,2
